author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
863491279,2022-02-01 23:56:41+00:00, ,1.48866E+18,en,2,0,0,1,Twitter Web App,"Missouri Voters, the elderly, Nursing Homes, 
Caregivers, Care Takers, Church, Voice Life, https://t.co/kbvbDZkxfo"
1.45612E+18,2022-02-01 23:56:39+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,@JMKIII58 @larryelder Uncle Larry Elder is more like Uncle Tom Elder.🤢
1.4834E+18,2022-02-01 23:56:30+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,"@Jagwitch I ordered for an anciently elderly friend the same moment I ordered mine. Mine arrived, hers haven’t, and she bugs me every. damn. day. about it. Chill out. They’ll arrive."
9.71899E+17,2022-02-01 23:56:30+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,Is it not enough that we are poisoning our young and elderly adults? Why would they need the EUA classification for a part of our society who has almost ZERO risk????? https://t.co/mBkmhioVYw
1.48863E+18,2022-02-01 23:56:28+00:00, ,1.48866E+18,en,1,0,1,0,Twitter for Android,"@KiiNGEGGERS @Breaking911 They should aim at elderly people if they really meant what they said but forcing all people regrading a medical issue by something that isn't confirmed effective with the virus, moreover some people died because of it, I don't see any wisdom here."
106300761,2022-02-01 23:56:12+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,"The elderly people of the small town of Coutt`s Alberta deserve better respect from the truckers, https://t.co/wixp7PL42w"
1697677172,2022-02-01 23:56:03+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,"When I see old ladies and men in my support group or the psych ward I get so sad. People forget about them, about the high rate of poverty and depression/loneliness in our elderly population. For a lot of ppl, our mental health struggles don’t suddenly disappear as we age."
1.43274E+18,2022-02-01 23:55:59+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,@ThatAbakwaGirl @Cedric_Akiums His elder brother is the total opposite
1.45891E+18,2022-02-01 23:55:59+00:00, ,1.48866E+18,en,0,0,0,0,"Cheap Bots, Done Quick!",A photo: An elderly embalmer led Carl out of the cemetery by the hand while Carl looked back at the gravestone behind him.
1.02032E+18,2022-02-01 23:55:59+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,@agusnox Private public partnerships benefit liars bc the govt shuns adversity and will not enforce its rights unless forced to politically. Otherwise (like the elderly person who falls for Nigerian prince scam) they cover it up and hope no one notices.
3398870566,2022-02-01 23:55:55+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,"@srah_jan111 Why do they keep saying the youngest are most at risk? I thought the risk increased according to age, with the elderly being at greatest risk. If this is correct, then there is some other reason for jabbing the young."
391039770,2022-02-01 23:55:52+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,@LauraMiers Melatonin can also help suppress the immune system and has shown some benefit for Long Covid; Don't mix it with any class-1 antihistamine unless under Dr's guidance as it can cause confusion and drowsiness (especially in the elderly)
454522466,2022-02-01 23:55:50+00:00, ,1.48866E+18,en,1,0,0,0,Twitter for iPhone,"Happy #LunarNewYear ! 🎆 

I’m celebrating by enjoying the vibrant fashions of these seniors. 

@voguemagazine This is top street style!

https://t.co/yERkpwlBKO"
575336171,2022-02-01 23:55:50+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,Every life saved the ss that get thru this war of the minds @Wil_Anderson @JaneCaro @SenatorThorpe @SciNate kids elders blah blah fast than Germany etc
3249260534,2022-02-01 23:55:39+00:00, ,1.48866E+18,en,2,0,0,0,Twitter Web App,"@680CJOB Welcome to the new normal.  Decrease life spans,  permanent heart and brain damage,  ongoing reinfections.    No supports for long-term disability.  The abandonment of our elders and our disadvantaged.    If you die you are unimportant.   If you can't work you are useless."
237119773,2022-02-01 23:55:38+00:00, ,1.48866E+18,en,115,0,3,0,Twitter for iPhone,"@NBedera Like many people in your comments I was irked by those Daily episodes. The 1st episode didn’t once consider that vaxxed and boosted low risk folks are being continually cautious b/c they are in community w/ elders, folks w/ disabilities &amp; others who they care about protecting."
9.15027E+17,2022-02-01 23:55:35+00:00, ,1.48866E+18,en,24,0,4,0,Twitter for Android,"I decided to clean the gutters again, since my go-to guy got up &amp; left. It really takes a mind set of not thinking about the height and/or falling while on that aluminum extension ladder. I cleaned the exterior sky light, also. See..elders can do this. https://t.co/3fcRR9wzcB"
1.16073E+18,2022-02-01 23:55:31+00:00, ,1.48866E+18,en,7,0,0,0,Twitter for iPhone,But let’s not forget people #watchtower and Jehovah’s Witnesses continually hide the exploitation of children and allow for repeat sex offenders to be elders and ministerial servants and is a disgusting cult that we all should continue to stay the fuck away from
1.40117E+18,2022-02-01 23:55:28+00:00, ,1.48866E+18,en,3,0,0,0,Twitter for Android,My first Elder Scrolls game was Skyrim
8.01865E+17,2022-02-01 23:55:26+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,Elder Scrolls  Online 2021 https://t.co/UWrC9uPQlh via @YouTube
